text,valence
El discurso de hoy fue inspirador y lleno de esperanza. ¡Así se hace!,muy positiva
"Me gustó lo que dijo sobre la economía, parece tener buenas ideas.",positiva
"Más de lo mismo, nada nuevo bajo el sol.",neutra
"Promesas vacías como siempre, ya sabemos cómo termina esto.",negativa
"Es un desastre, cada palabra que dice es una mentira más.",muy negativa
Fue un discurso claro y bien estructurado. Me pareció interesante.,positiva
"No sé qué pensar, dijo cosas importantes pero no sé si le creo.",neutra
Habla bonito pero a la hora de la verdad no hace nada.,negativa
¡Por fin un político que entiende los problemas reales de la gente!,muy positiva
"No dijo nada relevante, pura retórica vacía.",neutra
"Cada vez que habla me da más rabia, no soporto su cinismo.",muy negativa
"Al menos tocó algunos puntos clave, aunque le faltó profundidad.",positiva
