text,valence
"Me encantó este celular, la batería dura todo el día y la cámara es increíble.",muy positiva
"Buen producto, cumple con lo prometido aunque esperaba un poco más.",positiva
"Es un artículo normal, nada especial pero tampoco malo.",neutra
"La calidad deja mucho que desear, no lo recomendaría.",negativa
"Horrible, se dañó en una semana. No lo compren.",muy negativa
"Funciona bien y tiene buen diseño, me gustó bastante.",positiva
"Es decente, pero creo que hay mejores opciones en el mercado.",neutra
"Estoy muy decepcionado, esperaba algo mejor por el precio.",negativa
"Increíble, superó mis expectativas en todo sentido.",muy positiva
"Es lo que se anuncia, no más ni menos. Cumple su función.",neutra
"Se siente barato y frágil, no lo volvería a comprar.",negativa
¡El mejor que he probado! Lo recomiendo sin dudas.,muy positiva
